ogbn-arxiv,8192,nbr,10000000,
Epoch 00095 | Loss 0.3037 | Accuracy 0.9112 
Epoch 00096 | Loss 0.3016 | Accuracy 0.9097 
Epoch 00097 | Loss 0.3068 | Accuracy 0.9095 
Epoch 00098 | Loss 0.3010 | Accuracy 0.9120 
Epoch 00099 | Loss 0.3025 | Accuracy 0.9090 
ogbn-papers100M,8192,nbr,10000000,
8192,nbr,10000000,0,Epoch 00000 | Loss 2.8714 | Accuracy 0.4211 
Epoch 00001 | Loss 1.9575 | Accuracy 0.4756 
Epoch 00002 | Loss 1.8117 | Accuracy 0.4878 
Epoch 00003 | Loss 1.7539 | Accuracy 0.4990 
Epoch 00004 | Loss 1.7208 | Accuracy 0.5031 
Epoch 00005 | Loss 1.7009 | Accuracy 0.5026 
Epoch 00006 | Loss 1.6859 | Accuracy 0.5088 
Epoch 00007 | Loss 1.6769 | Accuracy 0.5070 
Epoch 00008 | Loss 1.6699 | Accuracy 0.5094 
Epoch 00009 | Loss 1.6631 | Accuracy 0.5127 
Epoch 00010 | Loss 1.6572 | Accuracy 0.5126 
Epoch 00011 | Loss 1.6543 | Accuracy 0.5050 
Epoch 00012 | Loss 1.6507 | Accuracy 0.5149 
Epoch 00013 | Loss 1.6476 | Accuracy 0.5132 
Epoch 00014 | Loss 1.6456 | Accuracy 0.5153 
Epoch 00015 | Loss 1.6425 | Accuracy 0.5109 
Epoch 00016 | Loss 1.6406 | Accuracy 0.5166 
Epoch 00017 | Loss 1.6388 | Accuracy 0.5177 
Epoch 00018 | Loss 1.6378 | Accuracy 0.5147 
Epoch 00019 | Loss 1.6367 | Accuracy 0.5124 
Epoch 00020 | Loss 1.6341 | Accuracy 0.5140 
Epoch 00021 | Loss 1.6329 | Accuracy 0.5158 
Epoch 00022 | Loss 1.6322 | Accuracy 0.5183 
Epoch 00023 | Loss 1.6320 | Accuracy 0.5174 
Epoch 00024 | Loss 1.6317 | Accuracy 0.5149 
Epoch 00025 | Loss 1.6296 | Accuracy 0.5182 
Epoch 00026 | Loss 1.6297 | Accuracy 0.5155 
Epoch 00027 | Loss 1.6285 | Accuracy 0.5186 
Epoch 00028 | Loss 1.6277 | Accuracy 0.5201 
Epoch 00029 | Loss 1.6271 | Accuracy 0.5176 
Epoch 00030 | Loss 1.6267 | Accuracy 0.5189 
Epoch 00031 | Loss 1.6261 | Accuracy 0.5165 
Epoch 00032 | Loss 1.6256 | Accuracy 0.5213 
Epoch 00033 | Loss 1.6251 | Accuracy 0.5181 
Epoch 00034 | Loss 1.6245 | Accuracy 0.5165 
Epoch 00035 | Loss 1.6245 | Accuracy 0.5156 
Epoch 00036 | Loss 1.6236 | Accuracy 0.5159 
Epoch 00037 | Loss 1.6230 | Accuracy 0.5166 
Epoch 00038 | Loss 1.6236 | Accuracy 0.5190 
Epoch 00039 | Loss 1.6234 | Accuracy 0.5196 
Epoch 00040 | Loss 1.6219 | Accuracy 0.5186 
Epoch 00041 | Loss 1.6219 | Accuracy 0.5190 
